time	rIJI3	
0.0 	-0.051171212385600135 	
1.0e-4	-0.051171241633851174 	
2.0e-4	-0.051171311137687256 	
3.0e-4	-0.051171403581411096 	
4.0e-4	-0.051171509834588304 	
5.0e-4	-0.051171625068740285 	
6.0e-4	-0.051171746750658746 	
7.0000000000000008e-4	-0.051171873546822581 	
8.0000000000000017e-4	-0.051172004757575324 	
9.0000000000000017e-4	-0.051172140004392563 	
0.0010000000000000002 	-0.051172279073099877 	
0.0011000000000000003 	-0.051172421846340574 	
0.0012000000000000003 	-0.051172568261103164 	
0.0013000000000000002 	-0.051172718279879685 	
0.0014000000000000003 	-0.051172871880121855 	
0.0015000000000000004 	-0.05117302905041857 	
0.0016000000000000005 	-0.051173189778137189 	
0.0017000000000000006 	-0.051173354050529473 	
0.0018000000000000005 	-0.051173521855538597 	
0.0019000000000000005 	-0.051173693180825834 	
0.0020000000000000004 	-0.051173868016199977 	
0.0021 	-0.051174046351710922 	
0.0022000000000000001 	-0.051174228177483893 	
0.0022999999999999998 	-0.051174413484938838 	
0.0023999999999999999 	-0.051174602265335353 	
0.0024999999999999995 	-0.051174794508567584 	
0.0025999999999999992 	-0.05117499020546437 	
0.0026999999999999992 	-0.051175189347357337 	
0.0027999999999999989 	-0.051175391924779694 	
0.0028999999999999989 	-0.05117559792779696 	
0.0029999999999999985 	-0.051175807346140747 	
0.0030999999999999983 	-0.051176020168992941 	
0.0031999999999999984 	-0.051176236390149663 	
0.003299999999999998 	-0.051176456000590091 	
0.0033999999999999981 	-0.051176678989944646 	
0.0034999999999999977 	-0.051176905349062051 	
0.0035999999999999978 	-0.051177135068885482 	
0.0036999999999999975 	-0.051177368140675341 	
0.0037999999999999971 	-0.051177604555779661 	
0.0038999999999999971 	-0.051177844305564423 	
0.0039999999999999973 	-0.051178087381662829 	
0.0040999999999999978 	-0.051178333775909559 	
0.0041999999999999975 	-0.051178583478555923 	
0.004299999999999998 	-0.051178836479496014 	
0.0043999999999999985 	-0.051179092771183531 	
0.0044999999999999991 	-0.051179352344877626 	
0.0045999999999999987 	-0.051179615191827352 	
0.0046999999999999992 	-0.051179881303264478 	
0.0047999999999999998 	-0.051180150670396775 	
0.0048999999999999994 	-0.051180423284401284 	
0.005 	-0.051180699136416727 	
0.0051000000000000005 	-0.05118097821753782 	
0.0052000000000000001 	-0.051181260520474571 	
0.0053000000000000007 	-0.051181546037556531 	
0.0054000000000000012 	-0.051181834758888049 	
0.0055000000000000008 	-0.051182126675865946 	
0.0056000000000000014 	-0.051182421779882494 	
0.0057000000000000019 	-0.051182720062324502 	
0.0058000000000000024 	-0.051183021514570308 	
0.0059000000000000021 	-0.051183326127987216 	
0.0060000000000000026 	-0.051183633893930249 	
0.0061000000000000031 	-0.05118394480596291 	
0.0062000000000000028 	-0.051184258857073903 	
0.0063000000000000033 	-0.051184576037346447 	
0.0064000000000000039 	-0.05118489633866238 	
0.0065000000000000035 	-0.051185219752952164 	
0.006600000000000004 	-0.051185546272197131 	
0.0067000000000000046 	-0.051185875888430709 	
0.0068000000000000042 	-0.05118620859373963 	
0.0069000000000000047 	-0.051186544380266889 	
0.0070000000000000053 	-0.051186883239331191 	
0.0071000000000000058 	-0.051187225162552039 	
0.0072000000000000055 	-0.051187570142749896 	
0.007300000000000006 	-0.051187918172085193 	
0.0074000000000000065 	-0.051188269242756838 	
0.0075000000000000062 	-0.051188623347000925 	
0.0076000000000000067 	-0.051188980477093304 	
0.0077000000000000072 	-0.051189340625347927 	
0.0078000000000000069 	-0.051189703784117916 	
0.0079000000000000074 	-0.051190069944906779 	
0.0080000000000000071 	-0.051190439099507498 	
0.0081000000000000067 	-0.05119081124090715 	
0.0082000000000000063 	-0.051191186361403069 	
0.0083000000000000042 	-0.051191564453309235 	
0.0084000000000000039 	-0.051191945508955507 	
0.0085000000000000035 	-0.051192329520685877 	
0.0086000000000000031 	-0.051192716480858715 	
0.0087000000000000028 	-0.051193106381844781 	
0.0088000000000000024 	-0.051193499216620663 	
0.0089000000000000021 	-0.051193894978008813 	
0.009 	-0.051194293658072487 	
0.0090999999999999996 	-0.051194695249371209 	
0.0091999999999999992 	-0.051195099744489418 	
0.0092999999999999989 	-0.051195507136036866 	
0.0093999999999999985 	-0.051195917416648626 	
0.0094999999999999982 	-0.051196330578984117 	
0.0095999999999999978 	-0.051196746615728319 	
0.0096999999999999957 	-0.051197165519849949 	
0.0097999999999999953 	-0.051197587284270147 	
0.009899999999999995 	-0.051198011901599711 	
0.009999999999999994 	-0.051198439364685794 	
